value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR,Deciles,Geographical area
1.76358,26,8620,,Latin America (simple average),2010,Decile 1,Urban
35.90923,26,8620,,Latin America (simple average),2010,Decile 10,Urban
3.1034,26,8620,,Latin America (simple average),2010,Decile 2,Urban
4.05445,26,8620,,Latin America (simple average),2010,Decile 3,Urban
5.02228,26,8620,,Latin America (simple average),2010,Decile 4,Urban
6.11551,26,8620,,Latin America (simple average),2010,Decile 5,Urban
7.39499,26,8620,,Latin America (simple average),2010,Decile 6,Urban
9.02861,26,8620,,Latin America (simple average),2010,Decile 7,Urban
11.53221,26,8620,,Latin America (simple average),2010,Decile 8,Urban
16.07574,26,8620,,Latin America (simple average),2010,Decile 9,Urban
1.48878,26,8620,,Latin America (simple average),2011,Decile 1,National
37.22866,26,8620,,Latin America (simple average),2011,Decile 10,National
2.76244,26,8620,,Latin America (simple average),2011,Decile 2,National
3.73562,26,8620,,Latin America (simple average),2011,Decile 3,National
4.81175,26,8620,,Latin America (simple average),2011,Decile 4,National
5.90784,26,8620,,Latin America (simple average),2011,Decile 5,National
7.31607,26,8620,,Latin America (simple average),2011,Decile 6,National
9.03411,26,8620,,Latin America (simple average),2011,Decile 7,National
11.59964,26,8620,,Latin America (simple average),2011,Decile 8,National
16.11509,26,8620,,Latin America (simple average),2011,Decile 9,National
1.68967,26,8620,,Latin America (simple average),2011,Decile 1,Rural
36.32226,26,8620,,Latin America (simple average),2011,Decile 10,Rural
2.97768,26,8620,,Latin America (simple average),2011,Decile 2,Rural
3.97686,26,8620,,Latin America (simple average),2011,Decile 3,Rural
5.00744,26,8620,,Latin America (simple average),2011,Decile 4,Rural
6.14079,26,8620,,Latin America (simple average),2011,Decile 5,Rural
7.47021,26,8620,,Latin America (simple average),2011,Decile 6,Rural
9.17287,26,8620,,Latin America (simple average),2011,Decile 7,Rural
11.5101,26,8620,,Latin America (simple average),2011,Decile 8,Rural
15.73211,26,8620,,Latin America (simple average),2011,Decile 9,Rural
1.78823,26,8620,,Latin America (simple average),2011,Decile 1,Urban
35.42759,26,8620,,Latin America (simple average),2011,Decile 10,Urban
3.13439,26,8620,,Latin America (simple average),2011,Decile 2,Urban
4.09071,26,8620,,Latin America (simple average),2011,Decile 3,Urban
5.12282,26,8620,,Latin America (simple average),2011,Decile 4,Urban
6.17163,26,8620,,Latin America (simple average),2011,Decile 5,Urban
7.47601,26,8620,,Latin America (simple average),2011,Decile 6,Urban
9.1701,26,8620,,Latin America (simple average),2011,Decile 7,Urban
11.63183,26,8620,,Latin America (simple average),2011,Decile 8,Urban
15.98668,26,8620,,Latin America (simple average),2011,Decile 9,Urban
1.50932,26,8620,,Latin America (simple average),2012,Decile 1,National
36.63417,26,8620,,Latin America (simple average),2012,Decile 10,National
2.80772,26,8620,,Latin America (simple average),2012,Decile 2,National
3.81847,26,8620,,Latin America (simple average),2012,Decile 3,National
4.88301,26,8620,,Latin America (simple average),2012,Decile 4,National
6.02279,26,8620,,Latin America (simple average),2012,Decile 5,National
7.40554,26,8620,,Latin America (simple average),2012,Decile 6,National
9.15714,26,8620,,Latin America (simple average),2012,Decile 7,National
11.66061,26,8620,,Latin America (simple average),2012,Decile 8,National
16.10123,26,8620,,Latin America (simple average),2012,Decile 9,National
1.73403,26,8620,,Latin America (simple average),2012,Decile 1,Rural
35.29013,26,8620,,Latin America (simple average),2012,Decile 10,Rural
3.04829,26,8620,,Latin America (simple average),2012,Decile 2,Rural
4.06666,26,8620,,Latin America (simple average),2012,Decile 3,Rural
5.11231,26,8620,,Latin America (simple average),2012,Decile 4,Rural
6.26875,26,8620,,Latin America (simple average),2012,Decile 5,Rural
7.58746,26,8620,,Latin America (simple average),2012,Decile 6,Rural
9.34824,26,8620,,Latin America (simple average),2012,Decile 7,Rural
11.64219,26,8620,,Latin America (simple average),2012,Decile 8,Rural
15.90193,26,8620,,Latin America (simple average),2012,Decile 9,Rural
1.81668,26,8620,,Latin America (simple average),2012,Decile 1,Urban
35.03041,26,8620,,Latin America (simple average),2012,Decile 10,Urban
3.19736,26,8620,,Latin America (simple average),2012,Decile 2,Urban
4.18266,26,8620,,Latin America (simple average),2012,Decile 3,Urban
5.18818,26,8620,,Latin America (simple average),2012,Decile 4,Urban
6.26089,26,8620,,Latin America (simple average),2012,Decile 5,Urban
