value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR
1.36,77,,ARG,Argentina,2009
2.19,77,,BHS,Bahamas,2009
1.36,77,,BRB,Barbados,2009
2.19,77,,BLZ,Belize,2009
1.36,77,,BOL,Bolivia (Plurinational State of),2009
2.19,77,,BRA,Brazil,2009
1.36,77,,CHL,Chile,2009
2.19,77,,COL,Colombia,2009
1.36,77,,CRI,Costa Rica,2009
2.19,77,,CUB,Cuba,2009
1.36,77,,DOM,Dominican Republic,2009
2.19,77,,ECU,Ecuador,2009
1.36,77,,SLV,El Salvador,2009
2.19,77,,GUY,Guyana,2009
1.36,77,,HTI,Haiti,2009
2.19,77,,HND,Honduras,2009
1.36,77,,JAM,Jamaica,2009
2.19,77,,MEX,Mexico,2009
1.36,77,,NIC,Nicaragua,2009
2.19,77,,PAN,Panama,2009
1.36,77,,PRY,Paraguay,2009
2.19,77,,PER,Peru,2009
1.36,77,,KNA,Saint Kitts and Nevis,2009
2.19,77,,LCA,Saint Lucia,2009
1.36,77,,SUR,Suriname,2009
2.19,77,,TTO,Trinidad and Tobago,2009
1.36,77,,URY,Uruguay,2009
2.19,77,,VEN,Venezuela (Bolivarian Republic of),2009
1.32,77,,ARG,Argentina,2010
2.24,77,,BHS,Bahamas,2010
1.32,77,,BRB,Barbados,2010
2.24,77,,BLZ,Belize,2010
1.32,77,,BOL,Bolivia (Plurinational State of),2010
1.32,77,,PRY,Paraguay,2010
2.24,77,,PER,Peru,2010
1.32,77,,KNA,Saint Kitts and Nevis,2010
2.24,77,,LCA,Saint Lucia,2010
1.32,77,,SUR,Suriname,2010
2.24,77,,TTO,Trinidad and Tobago,2010
1.32,77,,URY,Uruguay,2010
2.24,77,,VEN,Venezuela (Bolivarian Republic of),2010
1.36,77,,ARG,Argentina,2011
2.25,77,,BHS,Bahamas,2011
1.36,77,,BRB,Barbados,2011
2.25,77,,BLZ,Belize,2011
1.36,77,,BOL,Bolivia (Plurinational State of),2011
2.25,77,,BRA,Brazil,2011
1.36,77,,CHL,Chile,2011
2.25,77,,COL,Colombia,2011
1.36,77,,CRI,Costa Rica,2011
2.25,77,,CUB,Cuba,2011
1.36,77,,DOM,Dominican Republic,2011
2.25,77,,ECU,Ecuador,2011
1.36,77,,SLV,El Salvador,2011
2.25,77,,GUY,Guyana,2011
1.36,77,,HTI,Haiti,2011
2.25,77,,HND,Honduras,2011
1.36,77,,JAM,Jamaica,2011
2.25,77,,MEX,Mexico,2011
1.36,77,,NIC,Nicaragua,2011
2.25,77,,PAN,Panama,2011
1.36,77,,PRY,Paraguay,2011
2.25,77,,PER,Peru,2011
1.36,77,,KNA,Saint Kitts and Nevis,2011
2.25,77,,LCA,Saint Lucia,2011
1.36,77,,SUR,Suriname,2011
2.25,77,,TTO,Trinidad and Tobago,2011
1.36,77,,URY,Uruguay,2011
2.25,77,,VEN,Venezuela (Bolivarian Republic of),2011
1.38,77,,ARG,Argentina,2012
2.23,77,,BHS,Bahamas,2012
1.38,77,,BRB,Barbados,2012
2.23,77,,BLZ,Belize,2012
1.38,77,,BOL,Bolivia (Plurinational State of),2012
2.23,77,,BRA,Brazil,2012
1.38,77,,CHL,Chile,2012
2.23,77,,COL,Colombia,2012
1.38,77,,CRI,Costa Rica,2012
2.23,77,,CUB,Cuba,2012
1.38,77,,DOM,Dominican Republic,2012
2.23,77,,ECU,Ecuador,2012
1.38,77,,SLV,El Salvador,2012
2.23,77,,GUY,Guyana,2012
1.38,77,,HTI,Haiti,2012
2.23,77,,HND,Honduras,2012
1.38,77,,JAM,Jamaica,2012
2.23,77,,MEX,Mexico,2012
